DRUG SMILES,FRAG_SMILES
CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,Cc1nc([C@@H]2CCCN2C)n2ccnc(N)c12
CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)Cl,CN[C@@H]([C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O)[C@H](C)Cl
CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4,CNc1cc2c(C)ncnc2cc1C
CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Cc1ccnc(C(C)(C)C(F)(F)F)c1
CC(=O)O,CC(C)=O
C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,CCc1cccc(S(C)(=O)=O)c1
CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,CC(=O)c1cc2c(ncn2C)c(F)c1C
CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,CCCCC(O)c1ccc(NC)cc1
CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,COc1cc2c(C)c(C#N)cnc2cc1C
CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC,Cc1ncc(Cl)c(C)n1
COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,COc1cc2nccc(C)c2cc1OC
CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F,Cc1cnc2ncc(Cc3ccc4ncccc4c3)n2n1
CC(C)C[C@@H](C(=O)[C@]1(CO1)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,CN[C@@H](Cc1ccccc1)C(C)=O
CC(C(=O)O)O,CO
CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl,Cc1cc(C)c(C2CCNCC2)cc1C
C1CCN[C@@H](C1)C2(CN(C2)C(=O)C3=C(C(=C(C=C3)F)F)NC4=C(C=C(C=C4)I)F)O,CC(=O)c1ccc(F)c(F)c1C
COC1=C(C=CC2=C3NCCN3C(=NC(=O)C4=CN=C(N=C4)N)N=C21)OCCCN5CCOCC5,CCCCOc1ccc2c3n(c(=NC)nc2c1OC)CCN3
C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,CC(C)c1c(Cl)ccc(F)c1Cl
