name,SMILES
mol_94,Cc1cc(O)cc(C)c1C=C1C(=O)N(Cc2ccccc2)C(=O)N(Cc2ccccc2)C1=O
mol_95,CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)cc3)ncnc2cc1OC1CCOC1
mol_96,COCCOc1cc2ncnc(Nc3ccc(OCc4ccccn4)cc3)c2cc1NC(=O)C=CCN(C)C
mol_97,C=CC(=O)N1CCCC(n2nc(-c3ccc(C(F)(F)F)cc3)c3c(N)ncnc32)C1
mol_98,COC(=O)c1cc(O)ccc1NC(=O)C=Cc1ccc(O)c(O)c1
mol_99,CC(C(=O)O)N(C)C(=O)OCC1c2ccccc2-c2ccccc21
mol_100,CCOc1nc2ccccc2n1Cc1ccc(NC(=O)N2CC(c3cccnc3)C2)cc1
mol_101,O=C(Cc1ccccc1)Nc1c2c(nc3ccccc13)N(Cc1ccccc1)CC2
mol_102,CCOC(=O)c1c(NC(=O)CN2CCN(C(=O)c3ccco3)CC2)sc2c1CCC2
mol_103,CC(C)N1C(=O)C(NC(=O)C(Cc2ccccc2F)NC(=O)c2ccccn2)CCc2c(F)c(F)cc(F)c21
mol_104,Cl.Cl.c1cc(N2CCNCC2)c2cc[nH]c2c1
mol_105,Cc1cc(Cc2c(C)nn(CCC(=O)O)c2C)c2c(c1O)CCC2
mol_106,O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)NC2CCNCC2F)cc1
mol_107,CCCCC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
mol_108,N#CC1(NC(=O)C2Cc3ccc(c(Cl)c3)OCC=CCOc3ccccc3C(=O)N2)CC1
mol_109,O=C(CSc1nnc(NCc2ccccc2)s1)NCC1CCCCC1
mol_110,Nc1nc2cc(C(F)(F)F)ccc2n1Cc1ccc(Cl)cc1
mol_111,O=S(=O)(c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)[nH]1)C(F)(F)C(F)F
mol_112,CN(C)CCCn1c(=O)c2ccccc2c2ccccc21
mol_113,O=C1C(CCO)OC(c2cccc(Cl)c2)C(c2ccc(Cl)cc2)N1CC1CC1
mol_114,Cc1cc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)nc(N)n1
mol_115,CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(=O)CCc1ccccc1
mol_116,Oc1c(Cl)cc(Cl)cc1CNc1ccc2n[nH]nc2c1
mol_117,Cc1ccc(C(=O)c2cccn2CC=Cc2cccc(OCC(=O)O)c2)cc1
mol_118,C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)C=CCN4CCCCC4)cc23)c1
mol_119,C=CC(=O)N1CCCC(n2nc(-c3cccc(C(F)(F)F)c3)c3c(N)ncnc32)C1
mol_120,CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=C(CF)OC(N)=N1
mol_121,Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)C(C)(C)C(=O)N3)oc2ccccc12
mol_122,COc1cc[n+]([O-])c(CS(=O)(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
mol_123,C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)C=CCN4CCCCC4)cc23)c1
mol_124,CC(CCC(=O)ON1C(=O)CCC1=O)SSc1ccccn1
mol_125,C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c(NC(=O)C=CCN4CCCCC4)cc23)c1
mol_126,CCc1ccc(S(=O)(=O)c2ccccc2)cc1S(=O)(=O)NCCCN(C)C
mol_127,CC(C)(C)C(=O)N(CCCCCCN1CC(O)C(O)C(O)C1CO)C1CCCCCC1
mol_128,CNC(=O)Nc1cc(Oc2cncc(OC)c2)c(C2CCCOC2)cn1
mol_129,Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1.Cl
mol_130,Cc1cc(CC(=O)N2CC(O)CC2C(=O)NCc2ccc(-c3ocnc3C)cc2)on1
mol_131,[H]c1c([H])c(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)c([H])c([H])c1Cl
mol_132,CCNC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(=O)CCc1ccccc1
mol_133,O=C(C=Cc1ccc(Cc2nc3ccccc3[nH]2)cc1)NO
