Name,SMILES,BestFragment,BestScore
,CC(C)(C(=O)NC(COCC1=CC=CC=C1)C(=O)N2CCCC3(C2)C(CN(C3=O)C)C4=CC=CC=C4)N,CCc1ccccc1,-5.2
,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)C(C)(C)C,Cc1ccc2c(C)nc(C(C)(C)C)nc2n1,-6.3
,CC1C2=CC=CC=C2CCN1C3=C(C(=O)SS3)Cl,CC1c2ccccc2CCN1C,-5.5
,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)C5=CCOCC5,COc1ccc(C)cc1CO,-5.6
,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)C(C)C,COc1ccc(C)cc1CO,-5.6
,C/C=C(/C)\C(=O)O[C@@H]([C@@H](C1=C(C=C2C(=C1)C=CC(=O)O2)OC)O)C(C)(C)O,COc1cc2oc(=O)ccc2cc1[C@@H](O)[C@H](C)C(C)(C)O,-7.3
,C1=CC=C(C=C1)[C@H](CNCCC2=CC=C(C=C2)N)O,CCCc1ccc(N)cc1,-5.8
,CN1CC(OC1=O)CCN2CCC(=CC2)C3=CC=CC=C3,CN1CC=C(c2ccccc2)CC1,-5.7
,CN1CCN(CC1)C2=C3CC(COC3=CC=C2)NC(=O)C4=CN=C(C=C4)OCC(F)(F)F,CNC1COc2cccc(C)c2C1,-5.8
,CN1CCN(CC1)C(=O)COC2=CC=C(C=C2)C34CC5CC(C3)CC(C5)C4,CN1CCN(C)CC1,-3.9
,CC1=CC(=CC(=C1C2=CC=CC(=C2)COC3=CC=C(C=C3)C4=CC(=O)NS4=O)C)OCCCS(=O)(=O)C,Cc1ccc(C2=CC(=O)NS2=O)cc1,-6.5
,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=C(C=N4)O,CN1C(=O)CC2(CCCC2)CC1=O,-5.4
,CN1CCN(CC1)C2=C3CC(COC3=CC=C2)NC(=O)C4=CN=C(C=C4)OCCC(F)(F)F,CC(=O)c1ccc(C)nc1,-5.1
,CC1=CC(=CN=C1CO)C2=C3CC(COC3=CC=C2)NC(=O)C4=CN=C(C=C4)OCCOCC(F)(F)F,CNC1COc2cccc(C)c2C1,-5.8
,CC1=CN=C(C=N1)C2=C3CC(COC3=CC=C2)NC(=O)C4=CN=C(C=C4)OCC(F)(F)F,CNC1COc2cccc(C)c2C1,-5.8
,C1CCC2(C1)CC(=O)N(C(=O)C2O)CCCCN3CCN(CC3)C4=NC=CC=N4,CN1C(=O)CC2(CCCC2)C(O)C1=O,-5.8
,CCC1=C(N=C(N1)C2=CC=C(C=C2)OC)C3=CC=NC=C3,COc1ccc(C)cc1,-5.3
,CC1(CN(C1)C(=O)CN2C=NC3=C(C2=O)C(=CN3C4CC4)C5=CC(=C(C=C5)F)Cl)F,CN1CC(C)(F)C1,-4.4
,CC1=CC(=CC(=C1C=C2C(=O)N(C(=O)N(C2=O)CC3=CC=CC=C3)CC4=CC=CC=C4)C)O,CCc1c(C)cc(O)cc1C,-5.4
,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)OCC4=CC=CC=N4)OC5CCOC5,CNc1cc2c(C)ncnc2cc1C,-6.2
,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)OCC4=CC=CC=N4)OCCOC,CNc1cc2c(C)ncnc2cc1C,-6.2
,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)C(F)(F)F)N,Cc1ccc(C(F)(F)F)cc1,-6.3
,COC(=O)C1=C(C=CC(=C1)O)NC(=O)/C=C/C2=CC(=C(C=C2)O)O,CCc1ccc(O)c(O)c1,-5.4
,CC(C(=O)O)N(C)C(=O)OCC1C2=CC=CC=C2C3=CC=CC=C13,CCC1c2ccccc2-c2ccccc21,-7.3
,CCOC1=NC2=CC=CC=C2N1CC3=CC=C(C=C3)NC(=O)N4CC(C4)C5=CN=CC=C5,CCOc1nc2ccccc2n1C,-5.5
,C1CN(C2=NC3=CC=CC=C3C(=C21)NC(=O)CC4=CC=CC=C4)CC5=CC=CC=C5,CNc1c2c(nc3ccccc13)N(C)CC2,-6.4
,CCOC(=O)C1=C(SC2=C1CCC2)NC(=O)CN3CCN(CC3)C(=O)C4=CC=CO4,CNc1sc2c(c1C(C)=O)CCC2,-5.5
,CC(C)N1C(=O)C(CCC2=C1C(=CC(=C2F)F)F)NC(=O)C(CC3=CC=CC=C3F)NC(=O)C4=CC=CC=N4,CNC1CCc2c(F)c(F)cc(F)c2N(C)C1=O,-7.2
,C1CN(CCN1)C2=CC=CC3=C2C=CN3.Cl.Cl,Cc1cccc2[nH]ccc12,-5.6
,CC1=CC(=C2CCCC2=C1O)CC3=C(N(N=C3C)CCC(=O)O)C,Cc1cc(Cc2c(C)nn(C)c2C)c2c(c1O)CCC2,-7.4
,C1CNCC(C1NS(=O)(=O)C2=CC=C(C=C2)NC(=O)NCC3=CN=CC=C3)F,CNc1ccc(S(C)(=O)=O)cc1,-5.3
,CCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)C(=O)CO,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(C)C(=O)CO,-7.8
,C1CC1(C#N)NC(=O)C2CC3=CC(=C(C=C3)OCC=CCOC4=CC=CC=C4C(=O)N2)Cl,CC(=O)C1Cc2ccc(c(Cl)c2)OCC=CCOc2ccccc2C(=O)N1,-8.7
,C1CCC(CC1)CNC(=O)CSC2=NN=C(S2)NCC3=CC=CC=C3,CCc1ccccc1,-5.2
,C1=CC(=CC=C1CN2C3=C(C=C(C=C3)C(F)(F)F)N=C2N)Cl,Cn1c(N)nc2cc(C(F)(F)F)ccc21,-6.5
,C1=CC(=CC=C1C2=C(N=C(N2)S(=O)(=O)C(C(F)F)(F)F)C3=CC=C(C=C3)F)F,Cc1nc(S(=O)(=O)C(F)(F)C(F)F)[nH]c1C,-6.8
,CN(C)CCCN1C2=CC=CC=C2C3=CC=CC=C3C1=O,Cn1c(=O)c2ccccc2c2ccccc21,-7.9
,C1CC1CN2C(C(OC(C2=O)CCO)C3=CC(=CC=C3)Cl)C4=CC=C(C=C4)Cl,CN1C(=O)C(CCO)OC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,-7.7
,CC1=CC(=NC(=N1)N)NC2=NC=CC(=C2)NC(=O)C3=C(C=CC=C3Cl)Cl,CC(=O)c1c(Cl)cccc1Cl,-5.2
,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1CCC(=O)CCC2=CC=CC=C2)O)O,CCC[C@@H]1[C@@H](CCC(=O)CCc2ccccc2)[C@H](O)C[C@@H]1O,-5.5
,C1=CC2=NNN=C2C=C1NCC3=C(C(=CC(=C3)Cl)Cl)O,CCc1cc(Cl)cc(Cl)c1O,-5.6
,CC1=CC=C(C=C1)C(=O)C2=CC=CN2C/C=C/C3=CC(=CC=C3)OCC(=O)O,Cc1ccc(C(=O)c2cccn2C)cc1,-6.1
,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)NC(=O)C=CCN4CCCCC4,CNc1cc2c(C)ncnc2cc1OC,-6.4
,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC(=CC=C4)C(F)(F)F)N,Cc1nn(C)c2ncnc(N)c12,-5.7
,CC1(C=C(OC(=N1)N)CF)C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)C#N)F,CNc1ccc(F)c(C2(C)C=C(CF)OC(N)=N2)c1,-6.9
,CC1=C(OC2=CC=CC=C12)CN(C)C(=O)C=CC3=CC4=C(NC(=O)C4(C)C)N=C3,CCc1cnc2c(c1)C(C)(C)C(=O)N2,-6.2
,COC1=C(C(=[N+](C=C1)[O-])CS(=O)(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,COc1cc[n+]([O-])c(CS(=O)(=O)c2nc3ccc(C)cc3[nH]2)c1OC,-7.3
,CCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)NC(=O)C=CCN4CCCCC4,CCOc1cc2ncnc(C)c2cc1NC,-5.8
,CC(CCC(=O)ON1C(=O)CCC1=O)SSC2=CC=CC=N2,CC(=O)CCC(C)SSc1ccccn1,-5.1
,C#CC1=CC(=CC=C1)NC2=NC=NC3=CC(=C(C=C32)NC(=O)C=CCN4CCCCC4)OC5CCOC5,C#Cc1cccc(C)c1,-6.3
,CCC1=C(C=C(C=C1)S(=O)(=O)C2=CC=CC=C2)S(=O)(=O)NCCCN(C)C,CCc1ccc(S(=O)(=O)c2ccccc2)cc1S(C)(=O)=O,-6.8
,CC(C)(C)C(=O)N(CCCCCCN1CC(C(C(C1CO)O)O)O)C2CCCCCC2,CC1CCCCCC1,-5.2
,CNC(=O)NC1=NC=C(C(=C1)OC2=CN=CC(=C2)OC)C3CCCOC3,CNc1cc(C)c(C2CCCOC2)cn1,-5.7
,CC1=CC(=NN1C2=CC3=CC=CC=C3C=C2)OCCN4CCOCC4.Cl,Cc1ccc2ccccc2c1,-6.9
,CC1=NOC(=C1)CC(=O)N2CC(CC2C(=O)NCC3=CC=C(C=C3)C4=C(N=CO4)C)O,CC(=O)Cc1cc(C)no1,-5.5
,[2H]C1=C(C(=C(C(=C1C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)O)[2H])[2H])Cl)[2H],CCCCC(=O)c1ccc(F)cc1,-6.0
,CCNC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/C(=O)CCC2=CC=CC=C2)O)O,CCC[C@@H]1[C@@H](CC)[C@H](O)C[C@@H]1O,-5.0
,C1=CC=C2C(=C1)NC(=N2)CC3=CC=C(C=C3)C=CC(=O)NO,CCc1ccc(Cc2nc3ccccc3[nH]2)cc1,-8.1
,CN1CCN(C1=O)CCN2CCN(CC2)CCCN3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl,CCCCN1c2ccccc2Sc2ccc(Cl)cc21,-7.3
,C1COCCN1C2=NC(=NC(=C2)C3=CN=C(C=C3C(F)(F)F)N)N4CCOCC4.Cl,Cc1cnc(N)cc1C(F)(F)F,-5.5
