SMILES,Canonical_SMILES
CN1C(=O)CC2(CCCC2)C(O)C1=O,CN1C(=O)CC2(CCCC2)C(O)C1=O
COc1ccc(C)cc1,COc1ccc(C)cc1
CN1CC(C)(F)C1,CN1CC(C)(F)C1
CCc1c(C)cc(O)cc1C,CCc1c(C)cc(O)cc1C
CNc1cc2c(C)ncnc2cc1C,CNc1cc2c(C)ncnc2cc1C
CNc1cc2c(C)ncnc2cc1C,CNc1cc2c(C)ncnc2cc1C
Cc1ccc(C(F)(F)F)cc1,Cc1ccc(C(F)(F)F)cc1
CCc1ccc(O)c(O)c1,CCc1ccc(O)c(O)c1
CCC1c2ccccc2-c2ccccc21,CCC1c2ccccc2-c2ccccc21
CCOc1nc2ccccc2n1C,CCOc1nc2ccccc2n1C
CNc1c2c(nc3ccccc13)N(C)CC2,CNc1c2c(nc3ccccc13)N(C)CC2
CNc1sc2c(c1C(C)=O)CCC2,CNc1sc2c(c1C(C)=O)CCC2
CNC1CCc2c(F)c(F)cc(F)c2N(C)C1=O,CNC1CCc2c(F)c(F)cc(F)c2N(C)C1=O
Cc1cccc2[nH]ccc12,Cc1cccc2[nH]ccc12
Cc1cc(Cc2c(C)nn(C)c2C)c2c(c1O)CCC2,Cc1cc(Cc2c(C)nn(C)c2C)c2c(c1O)CCC2
CNc1ccc(S(C)(=O)=O)cc1,CNc1ccc(S(C)(=O)=O)cc1
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(C)C(=O)CO,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(C)C(=O)CO
CC(=O)C1Cc2ccc(c(Cl)c2)OCC=CCOc2ccccc2C(=O)N1,CC(=O)C1Cc2ccc(c(Cl)c2)OCC=CCOc2ccccc2C(=O)N1
CCc1ccccc1,CCc1ccccc1
Cn1c(N)nc2cc(C(F)(F)F)ccc21,Cn1c(N)nc2cc(C(F)(F)F)ccc21
Cc1nc(S(=O)(=O)C(F)(F)C(F)F)[nH]c1C,Cc1nc(S(=O)(=O)C(F)(F)C(F)F)[nH]c1C
Cn1c(=O)c2ccccc2c2ccccc21,Cn1c(=O)c2ccccc2c2ccccc21
CN1C(=O)C(CCO)OC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,CN1C(=O)C(CCO)OC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1
CC(=O)c1c(Cl)cccc1Cl,CC(=O)c1c(Cl)cccc1Cl
CCC[C@@H]1[C@@H](CCC(=O)CCc2ccccc2)[C@H](O)C[C@@H]1O,CCCC1C(O)CC(O)C1CCC(=O)CCc1ccccc1
CCc1cc(Cl)cc(Cl)c1O,CCc1cc(Cl)cc(Cl)c1O
Cc1ccc(C(=O)c2cccn2C)cc1,Cc1ccc(C(=O)c2cccn2C)cc1
CNc1cc2c(C)ncnc2cc1OC,CNc1cc2c(C)ncnc2cc1OC
Cc1nn(C)c2ncnc(N)c12,Cc1nn(C)c2ncnc(N)c12
CNc1ccc(F)c(C2(C)C=C(CF)OC(N)=N2)c1,CNc1ccc(F)c(C2(C)C=C(CF)OC(N)=N2)c1
CCc1cnc2c(c1)C(C)(C)C(=O)N2,CCc1cnc2c(c1)C(C)(C)C(=O)N2
COc1cc[n+]([O-])c(CS(=O)(=O)c2nc3ccc(C)cc3[nH]2)c1OC,COc1cc[n+]([O-])c(CS(=O)(=O)c2nc3ccc(C)cc3[nH]2)c1OC
CCOc1cc2ncnc(C)c2cc1NC,CCOc1cc2ncnc(C)c2cc1NC
CC(=O)CCC(C)SSc1ccccn1,CC(=O)CCC(C)SSc1ccccn1
C#Cc1cccc(C)c1,C#Cc1cccc(C)c1
CCc1ccc(S(=O)(=O)c2ccccc2)cc1S(C)(=O)=O,CCc1ccc(S(=O)(=O)c2ccccc2)cc1S(C)(=O)=O
CC1CCCCCC1,CC1CCCCCC1
CNc1cc(C)c(C2CCCOC2)cn1,CNc1cc(C)c(C2CCCOC2)cn1
Cc1ccc2ccccc2c1,Cc1ccc2ccccc2c1
CC(=O)Cc1cc(C)no1,CC(=O)Cc1cc(C)no1
CCCCC(=O)c1ccc(F)cc1,CCCCC(=O)c1ccc(F)cc1
CCC[C@@H]1[C@@H](CC)[C@H](O)C[C@@H]1O,CCCC1C(O)CC(O)C1CC
