DRUG SMILES,FRAG_SMILES
CC(C)(C)CCC#CC1CC1c1cnc[nH]1.O=C(O)C=CC(=O)O,CCC(C)=O
Cc1[nH]c2ccccc2c1C1CCN(Cc2ccc(C=CC(=O)NO)cc2)C1,Cc1[nH]c2ccccc2c1C1CCN(C)C1
CC(NCc1ccc(OCc2ccccc2F)cc1)C(N)=O.CS(=O)(=O)O,CCc1ccc(C)cc1
CCCCC(C)CC(O)C=CC1C(O)CC2CC(CCOCC(=O)OC)CC21,CCCC1CC2CC(O)C(CC)C2C1
Oc1c(C(Nc2ccccn2)c2cccs2)ccc2cccnc12,CC(c1cccs1)c1ccc2cccnc2c1O
C[N+]1(CCF)C2CCC1CC(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,CC(=O)C(O)(c1ccccc1)c1ccccc1
CC1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)C(CN2CCOCC2C)CN1,CN1CC(C)(C)c2ncc(Cc3ccc(F)cc3)cc21
COCC1CNC(C)CN1CC(=O)N1CC(C)(C)c2cnc(Cc3ccccc3)cc21,CN1CC(C)(C)c2cnc(Cc3ccccc3)cc21
CCN1CC(CCN2CCOCC2=O)C(c2ccccc2)(c2ccccc2)C1=O,CCCC1CN(CC)C(=O)C1(c1ccccc1)c1ccccc1
N#CC(=CC1CC1)C(=O)N1CCCC1Cn1nc(-c2ccc(Oc3ccccc3)cc2F)c2c(N)ncnc21,Cc1ccc(C)c(F)c1
O=C(NCC1CC(Br)=NO1)C1CC(F)CN1C(=O)OCc1cnc2ccccc2c1,CCc1cnc2ccccc2c1
CCCCCC(=O)NC(C(=O)NC(CCC(=O)N(C)C)C(=O)NC(CC(C)C)C(=O)C1(C)CO1)C(C)C,CNC(CC(C)C)C(=O)C1(C)CO1
CN1CC(c2ccccc2)C2(CCCN(C(=O)C(COCc3ccccc3)NC(=O)C(C)(C)N)C2)C1=O,CCc1ccccc1
CNC(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(C(C)(C)C)nc3n2)c1,Cc1ccc2c(C)nc(C(C)(C)C)nc2n1
CC1c2ccccc2CCN1c1ssc(=O)c1Cl,CC1c2ccccc2CCN1C
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(C4=CCOCC4)nc3n2)cc1CO,COc1ccc(C)cc1CO
COc1ccc(-c2ccc3c(N4CCOCC4C)nc(C(C)C)nc3n2)cc1CO,COc1ccc(C)cc1CO
CC=C(C)C(=O)OC(C(O)c1cc2ccc(=O)oc2cc1OC)C(C)(C)O,COc1cc2oc(=O)ccc2cc1C(O)C(C)C(C)(C)O
