NAME,DRUG SMILES,FRAG_SMILES,docking score ,Molecular Weight,LogP,#Rotatable Bonds,#Acceptors,#Donors,Surface Area,"Absorption
Water solubility","Absorption
Caco2 permeability","Absorption
Intestinal absorption (human)","Absorption
Skin Permeability","Absorption
P-glycoprotein substrate","Absorption
P-glycoprotein I inhibitor","Absorption
P-glycoprotein II inhibitor","Distribution
VDss (human)","Distribution
Fraction unbound (human)","Distribution
BBB permeability","Distribution
CNS permeability","Metabolism
CYP2D6 substrate","Metabolism
CYP3A4 substrate","Metabolism
CYP1A2 inhibitior","Metabolism
CYP2C19 inhibitior","Metabolism
CYP2C9 inhibitior","Metabolism
CYP2D6 inhibitior","Metabolism
CYP3A4 inhibitior","Excretion
Total Clearance","Excretion
Renal OCT2 substrate","Toxicity
AMES toxicity","Toxicity
Max. tolerated dose (human)","Toxicity
hERG I inhibitor","Toxicity
hERG II inhibitor","Toxicity
Oral Rat Acute Toxicity (LD50)","Toxicity
Oral Rat Chronic Toxicity (LOAEL)","Toxicity
Hepatotoxicity","Toxicity
Skin Sensitisation","Toxicity
T.Pyriformis toxicity","Toxicity
Minnow toxicity"
152054547,Cc1[nH+]c2n(c1C)CCN([C@@H]1CCCN(c3ccccc3F)C1=O)C2,Cc1ccccc1F,-5.5,110.131,2.13412,0,0,0,47.962,-1.85,1.682,95.157,-1.306,No,No,No,0.142,0.383,0.405,-1.703,No,No,No,No,No,No,No,0.135,No,No,0.963,No,No,1.884,2.227,No,No,0.074,1.425
152054548,O=C(COCC1CC1)N[C@H]1CC[N@@H+]2CCCC[C@H]12,CN[C@H]1CC[N@@H+]2CCCC[C@H]12,-5,155.265,-0.5845,1,1,2,68.957,-0.157,1.323,96.095,-3.213,Yes,No,No,0.957,0.895,0.092,-3.284,No,No,No,No,No,No,No,1.326,No,No,0.662,No,No,1.871,0.374,Yes,Yes,-0.051,3.166
152054550,O=C(COCC1CC1)N[C@H]1CC[N@H+]2CCCC[C@H]12,CN[C@H]1CC[N@H+]2CCCC[C@H]12,-5.2,155.265,-0.5845,1,1,2,68.957,-0.157,1.323,96.095,-3.213,Yes,No,No,0.957,0.895,0.092,-3.284,No,No,No,No,No,No,No,1.326,No,No,0.662,No,No,1.871,0.374,Yes,Yes,-0.051,3.166
152054551,CO[C@@H](C(=O)NC[C@@H](CO)c1ccccc1Cl)c1cnn(C)c1,CNC[C@@H](CO)c1ccccc1Cl,-5.2,199.681,1.6353,4,2,2,83.539,-1.575,1.456,93.774,-2.354,Yes,No,No,0.581,0.447,0.214,-1.476,No,No,No,No,No,Yes,No,0.885,No,No,0.526,No,No,2.494,1.77,Yes,Yes,-0.127,1.446
152054552,Cc1cc(NCc2cc(C)nn2C)nc(C(C)C)n1,Cc1cc(C)nc(C(C)C)n1,-5.2,150.225,2.21684,1,2,0,67.695,-1.404,1.608,96.113,-2.229,No,No,No,0.011,0.519,0.109,-2.476,No,No,Yes,No,No,No,No,0.932,No,No,1.052,No,No,1.853,2.084,No,Yes,0.224,1.702
152054553,O=C(NC[C@H](CO)c1cccnc1)[C@H]1CC[N@@H+](C2CCCCC2)C1,CC(=O)[C@H]1CC[N@@H+](C2CCCCC2)C1,-6.3,196.314,0.8129,2,1,1,86.663,-1.058,1.372,100,-3.296,No,No,No,0.628,0.758,0.139,-3.287,No,No,No,No,No,No,No,1.347,No,No,0.117,No,No,1.993,0.747,No,Yes,0.012,2.396
152054554,COC(=O)c1c(C)[nH]c(C(=O)C[N@@H+]2CCC[C@H]2c2ccco2)c1C,CC(=O)c1c(C)[nH]c(C(=O)C[N@@H+]2CCC[C@H]2c2ccco2)c1C,-7,315.393,2.02984,5,3,2,135.218,-2.778,0.933,96.203,-2.917,No,No,No,0.483,0.507,-0.179,-2.97,No,No,No,No,No,No,No,1.251,No,No,0.077,No,Yes,2.71,0.231,Yes,No,0.271,1.845
152054555,Cc1cc(CNc2cc(C)[nH+]c(C(C)C)n2)n(C)n1,Cc1cc(C)[nH+]c(C(C)C)n1,-5.2,151.233,1.63594,1,1,0,67.695,-0.69,1.433,94.36,-2.405,No,No,No,0.449,0.707,0.324,-2.608,No,No,Yes,No,No,No,No,0.753,No,No,0.613,No,No,2.074,1.545,No,Yes,0.106,1.928
152054556,CCc1nccn1C[C@@H]1CCCN1C(=O)C[C@H](C)c1c(C)n[nH]c1C,CC(=O)C[C@H](C)c1c(C)n[nH]c1C,-5.4,180.251,2.10914,3,2,1,78.545,-2.117,1.215,93.016,-3.188,No,No,No,-0.068,0.589,0.003,-3.011,No,No,No,No,No,No,No,0.369,No,No,1.032,No,No,2.325,2.513,No,No,-0.088,1.908
152054557,CCc1[nH+]ccn1C[C@@H]1CCCN1C(=O)C[C@H](C)c1c(C)n[nH]c1C,CC(=O)C[C@H](C)c1c(C)n[nH]c1C,-5.4,180.251,2.10914,3,2,1,78.545,-2.117,1.215,93.016,-3.188,No,No,No,-0.068,0.589,0.003,-3.011,No,No,No,No,No,No,No,0.369,No,No,1.032,No,No,2.325,2.513,No,No,-0.088,1.908
152054558,O=C(NC[C@H](CO)c1cccnc1)[C@H]1CC[N@H+](C2CCCCC2)C1,CC(=O)[C@H]1CC[N@H+](C2CCCCC2)C1,-5.6,196.314,0.8129,2,1,1,86.663,-1.058,1.372,100,-3.296,No,No,No,0.628,0.758,0.139,-3.287,No,No,No,No,No,No,No,1.347,No,No,0.117,No,No,1.993,0.747,No,Yes,0.012,2.396
152054559,COC(=O)c1c(C)[nH]c(C(=O)C[N@H+]2CCC[C@H]2c2ccco2)c1C,CC(=O)c1c(C)[nH]c(C(=O)C[N@H+]2CCC[C@H]2c2ccco2)c1C,-7,315.393,2.02984,5,3,2,135.218,-2.778,0.933,96.203,-2.917,No,No,No,0.483,0.507,-0.179,-2.97,No,No,No,No,No,No,No,1.251,No,No,0.077,No,Yes,2.71,0.231,Yes,No,0.271,1.845
152054560,C[N@H+]1C[C@H](c2ccccc2)[C@@H](NC(=O)c2ccc(-n3cccn3)cc2)C1,CC(=O)c1ccc(C)cc1,-5.6,134.178,2.19762,1,1,0,60.688,-2.265,1.042,96.771,-1.938,No,No,No,0.17,0.403,0.41,-1.913,No,No,Yes,No,No,No,No,0.285,No,No,1.284,No,No,1.637,2.043,No,Yes,0.191,1.32
152054561,C[N@@H+]1C[C@H](c2ccccc2)[C@@H](NC(=O)c2ccc(-n3cccn3)cc2)C1,CN[C@H]1C[N@H+](C)C[C@@H]1c1ccccc1,-5.9,191.298,-0.1135,2,1,2,85.925,-1.206,1.497,76.996,-2.705,Yes,No,No,1.331,0.539,0.226,-1.242,Yes,Yes,No,No,No,No,No,1.211,Yes,No,0.087,No,No,2.231,1.522,No,Yes,-0.056,1.792
152054562,CN1C[C@H](c2ccccc2)[C@@H](NC(=O)c2ccc(-n3cccn3)cc2)C1,CC(=O)c1ccc(C)cc1,-5.6,134.178,2.19762,1,1,0,60.688,-2.265,1.042,96.771,-1.938,No,No,No,0.17,0.403,0.41,-1.913,No,No,Yes,No,No,No,No,0.285,No,No,1.284,No,No,1.637,2.043,No,Yes,0.191,1.32
152054563,CC(C)(C(=O)NC[C@H](CO)c1ccccc1Cl)N1CCOCC1,CNC[C@H](CO)c1ccccc1Cl,-5.2,199.681,1.6353,4,2,2,83.539,-1.575,1.456,93.774,-2.354,Yes,No,No,0.581,0.447,0.214,-1.476,No,No,No,No,No,Yes,No,0.885,No,No,0.526,No,No,2.494,1.77,Yes,Yes,-0.127,1.446
152054564,O=C(c1cc(F)c(Cl)cc1F)N1CCC[C@H](c2nnc[nH]2)C1,CC(=O)c1cc(F)c(Cl)cc1F,-6.1,190.576,2.8208,1,1,0,72.957,-3.292,1.104,94.765,-2.415,No,No,No,-0.118,0.406,0.455,-2.052,No,No,Yes,No,No,No,No,0.266,No,No,1.57,No,No,2.231,2.092,No,No,0.857,1.012
152054565,Cn1nccc1C1CCN(Cc2ccc(Cl)cc2[N+](=O)[O-])CC1,CCc1ccc(Cl)cc1[N+](=O)[O-],-5.3,185.61,2.8106,2,2,0,75.118,-3.743,1.332,93.132,-2.127,No,No,No,0.46,0.157,0.036,-1.485,No,No,Yes,No,No,No,No,0.281,No,No,0.679,No,No,2.265,1.93,No,Yes,1.213,0.384
152054566,CC(C)(C(=O)NC[C@H](CO)c1ccccc1Cl)[NH+]1CCOCC1,CC(=O)C(C)(C)[NH+]1CCOCC1,-5.3,172.248,-0.7309,2,2,1,73.688,0.135,1.599,100,-3.64,No,No,No,0.194,0.864,0.059,-3.271,No,No,No,No,No,No,No,1.265,No,No,0.454,No,No,1.792,1.906,No,Yes,-0.44,3.051
152054567,O=C(c1cc(F)c(Cl)cc1F)N1CCC[C@H](c2nc[nH]n2)C1,CC(=O)c1cc(F)c(Cl)cc1F,-6.1,190.576,2.8208,1,1,0,72.957,-3.292,1.104,94.765,-2.415,No,No,No,-0.118,0.406,0.455,-2.052,No,No,Yes,No,No,No,No,0.266,No,No,1.57,No,No,2.231,2.092,No,No,0.857,1.012
152054568,CC(=O)c1cc(C(=O)NC[C@H](CO)c2cccnc2)c(C)nc1C,CC(=O)c1cc(C(C)=O)c(C)nc1C,-5.7,191.23,2.10364,2,3,0,83.164,-2.153,1.253,98.319,-2.499,No,No,No,-0.195,0.494,-0.226,-2.851,No,No,No,No,No,No,No,0.673,No,No,1.079,No,No,2.271,2.653,No,No,0.136,1.923
152054570,Cc1cc(N2CCC[C@@H](NC(=O)c3cccn3C(C)C)C2)nc(C)n1,Cc1cc(C)nc(C)n1,-5.3,122.171,1.40186,0,2,0,54.966,-0.344,1.562,98.278,-2.742,No,No,No,-0.173,0.657,-0.045,-2.788,No,No,No,No,No,No,No,0.711,No,No,1.112,No,No,2.154,2.17,No,Yes,-0.443,2.174
152054571,NC(=O)NCCCCCC(=O)NC[C@@H](CO)c1ccccc1Cl,CC(=O)CCCCCNC(N)=O,-6,172.228,0.8041,6,2,2,72.507,-0.613,0.602,71.428,-3.177,No,No,No,-0.456,0.625,-0.288,-3.401,No,No,No,No,No,No,No,0.623,No,No,0.896,No,No,2.152,2.643,No,Yes,-0.474,2.37
152054572,Cc1cc(N2CCC[C@@H](NC(=O)c3cccn3C(C)C)C2)nc(C)[nH+]1,Cc1cc(C)[nH+]c(C)n1,-5.3,123.179,0.82096,0,1,0,54.966,-0.187,1.409,100,-2.834,Yes,No,No,0.243,0.841,-0.255,-2.948,No,No,No,No,No,No,No,0.633,No,No,0.72,No,No,2.331,1.339,No,Yes,-0.29,2.524
152054573,O=C(NC[C@@H](CO)c1cccnc1)c1cc2c(c([N+](=O)[O-])c1)OCO2,CC(=O)c1cc2c(c([N+](=O)[O-])c1)OCO2,-6.7,209.157,1.5261,2,5,0,84.562,-2.884,0.236,95.169,-2.664,No,No,No,-0.144,0.24,-0.522,-2.426,No,No,Yes,No,No,No,No,0.483,No,Yes,0.565,No,No,2.106,1.586,No,No,1.1,1.393
152054574,Cc1cc(O[C@@H](C)C(=O)N[C@H]2CCc3[nH]cnc3C2)ccc1Cl,CN[C@H]1CCc2[nH]cnc2C1,-5.6,151.213,0.4864,1,2,2,66.229,-2.054,1.524,84.052,-2.735,Yes,No,No,-0.306,0.702,-0.27,-2.512,No,No,No,No,No,No,No,1.234,No,No,-0.451,No,No,2.483,1.06,Yes,No,0.285,3.013
152054575,Cc1ccc(NC(=O)NC(=O)CN2CCC[C@@H]2c2ccco2)c(C)c1,CNc1ccc(C)cc1C,-5.4,135.21,2.34514,1,1,1,62.076,-2.187,1.363,92.863,-1.716,No,No,No,0.212,0.387,0.473,-1.579,No,No,No,No,No,No,No,0.402,No,No,0.837,No,No,2.186,2.039,No,Yes,0.266,1.281
152054576,COC(=O)[C@@H](CF)NC(=O)[C@H](c1c(F)cccc1Cl)N(C)C,CC(=O)[C@H](c1c(F)cccc1Cl)N(C)C,-5.7,229.682,2.6708,3,2,0,93.646,-2.592,1.253,90.514,-2.63,No,No,No,0.531,0.653,0.578,-2.447,No,No,Yes,No,No,Yes,No,0.463,No,No,0.556,No,No,3.146,1.11,No,No,0.285,1.18
152054577,Cc1cc(O[C@@H](C)C(=O)N[C@H]2CCc3nc[nH]c3C2)ccc1Cl,Cc1ccc(Cl)c(C)c1,-5.4,140.613,2.95684,0,0,0,60.465,-3.282,1.438,95.708,-1.132,No,No,No,0.4,0.356,0.415,-1.763,No,No,Yes,No,No,No,No,0.138,No,No,0.961,No,No,2.002,2.187,No,Yes,0.796,0.72
152054578,Cc1cc(C)nc(SCC(=O)NC[C@H](CO)c2cccnc2)n1,CC(=O)CSc1nc(C)cc(C)n1,-5.4,196.275,1.77454,3,4,0,81.98,-1.667,1.616,97.64,-2.805,No,No,No,-0.284,0.593,0.336,-2.994,No,No,No,No,No,No,No,0.193,No,No,1.086,No,No,2.426,2.341,Yes,No,0.059,1.62
152054579,Cc1cc(O[C@@H](C)C(=O)N[C@H]2CCc3[nH+]c[nH]c3C2)ccc1Cl,Cc1ccc(Cl)c(C)c1,-5.4,140.613,2.95684,0,0,0,60.465,-3.282,1.438,95.708,-1.132,No,No,No,0.4,0.356,0.415,-1.763,No,No,Yes,No,No,No,No,0.138,No,No,0.961,No,No,2.002,2.187,No,Yes,0.796,0.72
152054580,Cc1cc(O[C@@H](C)C(=O)N[C@H]2CCc3[nH]c[nH+]c3C2)ccc1Cl,CN[C@H]1CCc2[nH]c[nH+]c2C1,-5.6,152.221,-0.0945,1,1,2,66.229,-2.143,1.396,83.656,-2.735,Yes,No,No,-0.236,0.699,-0.261,-2.488,No,No,No,No,No,No,No,1.293,No,No,-0.532,No,No,2.294,0.698,Yes,No,0.285,3.191
152054581,CN1CCN(CC(=O)NC[C@H]2CCCC[C@H]2C(F)(F)F)CC1=O,CNC[C@H]1CCCC[C@H]1C(F)(F)F,-5.7,195.228,2.5745,2,1,1,76.699,-2.869,1.4,91.03,-1.757,No,No,No,0.516,0.486,0.678,-1.777,No,No,No,No,No,No,No,0.459,No,No,0.174,No,No,2.913,1.853,No,No,1.587,1.257
152054582,Cc1ccc(NC(=O)NC(=O)C[N@@H+]2CCC[C@@H]2c2ccco2)c(C)c1,CC(=O)C[N@@H+]1CCC[C@@H]1c1ccco1,-5.7,194.254,0.5884,3,2,1,83.696,-0.76,1.567,94.899,-3.214,Yes,No,No,0.412,0.686,-0.089,-3.474,No,No,No,No,No,No,No,1.253,No,No,0.732,No,No,2.686,0.704,Yes,No,0.01,2.281
152054583,Cc1cc(O[C@H](C)C(=O)N[C@H]2CCc3[nH]cnc3C2)ccc1Cl,CN[C@H]1CCc2[nH]cnc2C1,-5.6,151.213,0.4864,1,2,2,66.229,-2.054,1.524,84.052,-2.735,Yes,No,No,-0.306,0.702,-0.27,-2.512,No,No,No,No,No,No,No,1.234,No,No,-0.451,No,No,2.483,1.06,Yes,No,0.285,3.013
152054584,O=C(NC[C@H](CO)c1cccnc1)C1CCC(NC(=O)C2CC2)CC1,CNC[C@H](CO)c1cccnc1,-5.1,166.224,0.3769,4,3,2,72.455,-0.391,1.167,78.979,-2.553,No,No,No,0.248,0.686,-0.195,-2.961,No,No,No,No,No,No,No,0.951,No,No,0.944,No,No,2.282,2.635,Yes,Yes,-0.701,2.402
152054585,Cc1cc(O[C@H](C)C(=O)N[C@H]2CCc3nc[nH]c3C2)ccc1Cl,Cc1ccc(Cl)c(C)c1,-5.4,140.613,2.95684,0,0,0,60.465,-3.282,1.438,95.708,-1.132,No,No,No,0.4,0.356,0.415,-1.763,No,No,Yes,No,No,No,No,0.138,No,No,0.961,No,No,2.002,2.187,No,Yes,0.796,0.72
152054586,Cc1cc(O[C@H](C)C(=O)N[C@H]2CCc3[nH+]c[nH]c3C2)ccc1Cl,Cc1ccc(Cl)c(C)c1,-5.4,140.613,2.95684,0,0,0,60.465,-3.282,1.438,95.708,-1.132,No,No,No,0.4,0.356,0.415,-1.763,No,No,Yes,No,No,No,No,0.138,No,No,0.961,No,No,2.002,2.187,No,Yes,0.796,0.72
152054587,C[C@@H](CC(=O)NC[C@@H](CO)c1cccnc1)NC(=O)c1ccccc1,CC(=O)c1ccccc1,-5.9,120.151,1.8892,1,1,0,54.323,-1.922,1.199,96.515,-1.992,No,No,No,0.095,0.393,0.364,-1.857,No,No,No,No,No,No,No,0.282,No,No,1.188,No,No,1.727,1.996,No,Yes,-0.071,1.525
152054588,Cc1ccc(NC(=O)NC(=O)C[N@H+]2CCC[C@@H]2c2ccco2)c(C)c1,CNc1ccc(C)cc1C,-5.4,135.21,2.34514,1,1,1,62.076,-2.187,1.363,92.863,-1.716,No,No,No,0.212,0.387,0.473,-1.579,No,No,No,No,No,No,No,0.402,No,No,0.837,No,No,2.186,2.039,No,Yes,0.266,1.281
152054589,Cc1cc(O[C@H](C)C(=O)N[C@H]2CCc3[nH]c[nH+]c3C2)ccc1Cl,CN[C@H]1CCc2[nH]c[nH+]c2C1,-5.6,152.221,-0.0945,1,1,2,66.229,-2.143,1.396,83.656,-2.735,Yes,No,No,-0.236,0.699,-0.261,-2.488,No,No,No,No,No,No,No,1.293,No,No,-0.532,No,No,2.294,0.698,Yes,No,0.285,3.191
152054590,O=C(NC[C@@H](CO)c1cccnc1)C1CCC(NC(=O)C2CC2)CC1,CNC1CCC(C(C)=O)CC1,-5.1,155.241,1.3536,2,2,1,68.364,-0.795,1.464,95.623,-2.868,Yes,No,No,0.434,0.733,0.073,-2.966,No,No,No,No,No,No,No,1.011,No,No,0.706,No,No,2.168,1.363,No,Yes,0.012,2.209
152054591,O=C(/C=C/c1ccnc(Cl)c1)NCC1(N2CCOCC2)CCCC1,CCc1ccnc(Cl)c1,-5.1,141.601,2.2974,1,1,0,59.684,-1.566,1.634,96.379,-2.004,Yes,No,No,-0.006,0.535,0.237,-2.463,No,No,Yes,No,No,No,No,0.122,No,No,0.973,No,No,2.289,1.892,No,Yes,0.325,1.32
152054592,Cc1ccc([N+](=O)[O-])cc1NC(=O)CN1CCC[C@H]1c1ccco1,CNc1cc([N+](=O)[O-])ccc1C,-5.7,166.18,1.94492,2,3,1,70.364,-2.743,1.263,91.797,-2.527,Yes,No,No,0.18,0.289,-0.018,-2.123,No,No,Yes,No,No,No,No,0.421,No,Yes,0.3,No,No,2.275,1.761,No,Yes,0.358,0.707
152054593,O=C(NC[C@H](CO)c1cccnc1)c1ccnc(OCC(F)F)c1,CC(=O)c1ccnc(C)c1,-5.3,135.166,1.59262,1,2,0,59.907,-1.024,1.56,98.22,-2.416,No,No,No,-0.146,0.569,0.085,-2.723,No,No,No,No,No,No,No,0.674,No,No,1.132,No,No,2.01,2.509,No,Yes,-0.186,2.004
152054594,O=C(/C=C/c1ccnc(Cl)c1)NCC1([NH+]2CCOCC2)CCCC1,CNCC1([NH+]2CCOCC2)CCCC1,-5.4,199.318,-0.5663,3,2,2,86.8,-0.405,1.436,96.692,-3.316,Yes,No,No,0.869,0.863,0.144,-3.566,No,No,No,No,No,No,No,1.285,No,No,0.51,No,No,1.635,0.513,No,Yes,0.097,3.049
152054595,Cc1cn2c(n1)[C@H](CNC(=O)Cc1ccc(Cl)nc1C)CCC2,CC(=O)Cc1ccc(Cl)nc1C,-6.1,183.638,2.17492,2,2,0,76.576,-1.828,1.417,97.231,-2.378,No,No,No,-0.189,0.544,0.184,-2.71,No,No,Yes,No,No,No,No,0.08,No,No,0.946,No,No,2.413,1.941,Yes,Yes,0.365,1.409
152054597,Cc1cn2c([nH+]1)[C@H](CNC(=O)Cc1ccc(Cl)nc1C)CCC2,CC(=O)Cc1ccc(Cl)nc1C,-6.1,183.638,2.17492,2,2,0,76.576,-1.828,1.417,97.231,-2.378,No,No,No,-0.189,0.544,0.184,-2.71,No,No,Yes,No,No,No,No,0.08,No,No,0.946,No,No,2.413,1.941,Yes,Yes,0.365,1.409
152054600,Cc1ccc([N+](=O)[O-])cc1NC(=O)C[N@@H+]1CCC[C@H]1c1ccco1,CNc1cc([N+](=O)[O-])ccc1C,-5.7,166.18,1.94492,2,3,1,70.364,-2.743,1.263,91.797,-2.527,Yes,No,No,0.18,0.289,-0.018,-2.123,No,No,Yes,No,No,No,No,0.421,No,Yes,0.3,No,No,2.275,1.761,No,Yes,0.358,0.707
152054603,Cc1ccc([N+](=O)[O-])cc1NC(=O)C[N@H+]1CCC[C@H]1c1ccco1,CNc1cc([N+](=O)[O-])ccc1C,-5.7,166.18,1.94492,2,3,1,70.364,-2.743,1.263,91.797,-2.527,Yes,No,No,0.18,0.289,-0.018,-2.123,No,No,Yes,No,No,No,No,0.421,No,Yes,0.3,No,No,2.275,1.761,No,Yes,0.358,0.707
152054605,CO[C@@H](C(=O)NC[C@H](CO)c1ccccc1Cl)c1cnn(C)c1,CO[C@@H](C(C)=O)c1cnn(C)c1,-4.8,168.196,0.6966,3,4,0,71.138,-0.999,1.207,100,-2.886,No,No,No,-0.291,0.607,-0.253,-2.949,No,No,No,No,No,No,No,0.736,No,No,1.118,No,No,2.459,2.446,No,No,-0.162,2.395
152054607,COc1ccc(COC[C@@H](O)C[N@@H+]2CCC[C@@H]2c2ccco2)cc1,CCc1ccc(OC)cc1,-6.1,136.194,2.2576,2,1,0,61.64,-2.469,1.344,97.183,-1.483,No,No,No,0.295,0.359,0.575,-1.791,No,No,Yes,No,No,No,No,0.292,No,No,1.069,No,No,1.725,2.031,No,Yes,0.443,1.084
152054608,CC(C)[C@H]([NH2+]C1CCOCC1)C(=O)NC[C@H](CO)c1cccnc1,CC(=O)[C@@H]([NH2+]C1CCOCC1)C(C)C,-5.2,200.302,0.3424,4,2,1,86.208,-0.594,1.411,93.152,-2.752,No,No,No,0.214,0.653,-0.127,-2.794,No,No,No,No,No,No,No,1.23,No,No,0.477,No,No,2.343,2.386,No,Yes,0.057,2.313
152054609,COc1cccc(C(=O)N2CCCN(c3cncc(F)c3)CC2)c1F,COc1cccc(C(C)=O)c1F,-5.9,168.167,2.0369,2,2,0,69.967,-1.944,1.637,96.423,-2.334,No,No,No,-0.12,0.4,0.2,-2.105,No,No,Yes,No,No,No,No,0.098,No,No,1.266,No,No,2.11,2.318,No,No,0.363,1.744
152054610,Cc1c(C(=O)NC[C@H](CO)c2cccnc2)nnn1CC1CCCC1,CNC[C@H](CO)c1cccnc1,-5.1,166.224,0.3769,4,3,2,72.455,-0.391,1.167,78.979,-2.553,No,No,No,0.248,0.686,-0.195,-2.961,No,No,No,No,No,No,No,0.951,No,No,0.944,No,No,2.282,2.635,Yes,Yes,-0.701,2.402
152054611,CC(C)[C@@H](NC(=O)C(C)(C)C)C(=O)NC[C@@H](CO)c1cccnc1,CNC[C@@H](CO)c1cccnc1,-5,166.224,0.3769,4,3,2,72.455,-0.391,1.167,78.979,-2.553,No,No,No,0.248,0.686,-0.195,-2.961,No,No,No,No,No,No,No,0.951,No,No,0.944,No,No,2.282,2.635,Yes,Yes,-0.701,2.402
152054612,O=C(c1cc(Cl)c[nH]1)N1C[C@@H](O)C[C@@H]1c1ccc(F)c(F)c1,CN1C[C@@H](O)C[C@@H]1c1ccc(F)c(F)c1,-6.1,213.227,1.7023,1,2,1,87.135,-1.839,1.417,94.198,-3.046,Yes,No,No,0.503,0.431,0.232,-1.798,No,No,No,No,No,No,No,0.791,No,No,0.649,No,No,2.644,1.956,No,No,0.421,1.699
152054613,COc1ccc(COC[C@@H](O)C[N@H+]2CCC[C@@H]2c2ccco2)cc1,CCc1ccc(OC)cc1,-6.1,136.194,2.2576,2,1,0,61.64,-2.469,1.344,97.183,-1.483,No,No,No,0.295,0.359,0.575,-1.791,No,No,Yes,No,No,No,No,0.292,No,No,1.069,No,No,1.725,2.031,No,Yes,0.443,1.084
152054614,CN1CCN(CC(=O)NC[C@@H]2CCCC[C@H]2C(F)(F)F)CC1=O,CNC[C@@H]1CCCC[C@H]1C(F)(F)F,-5.6,195.228,2.5745,2,1,1,76.699,-2.869,1.4,91.03,-1.757,No,No,No,0.516,0.486,0.678,-1.777,No,No,No,No,No,No,No,0.459,No,No,0.174,No,No,2.913,1.853,No,No,1.587,1.257
152054615,COC(=O)c1ccc(Cl)c(S(=O)(=O)N2CC[C@H](C3CC3)C2)c1,CC(=O)c1ccc(Cl)c(S(C)(=O)=O)c1,-5.6,232.688,1.9461,2,3,0,87.616,-2.986,1.299,96.953,-2.62,No,No,No,-0.283,0.389,-0.101,-2.854,No,No,Yes,No,No,No,No,0.242,No,No,1.224,No,No,2.409,1.516,No,No,0.726,1.232
152054616,CCC[C@H](C(=O)N[C@@H]1CCCN(Cc2noc(CC)n2)C1)C(C)C,CCc1noc(CC)n1,-5.5,126.159,1.1944,2,3,0,54.076,-0.607,1.626,97.999,-2.782,No,No,No,-0.199,0.594,-0.273,-2.598,No,No,No,No,No,No,No,0.33,No,No,1.122,No,No,2.283,2.371,No,Yes,-0.483,2.129
152054617,O=C(N[C@H](CCO)c1ccc(Cl)cc1)C1CCS(=O)(=O)CC1,CC(=O)C1CCS(=O)(=O)CC1,-5.2,176.237,0.4002,1,3,0,66.71,-0.501,1.189,100,-3.309,No,No,No,-0.236,0.696,-0.311,-2.935,No,No,No,No,No,No,No,0.572,No,No,0.825,No,No,2.313,2.252,Yes,No,-0.525,2.408
152054618,CC(C)CC1(C(=O)N2CC[C@H]([NH+]3CCN(C)CC3)[C@@H](C)C2)CCC1,C[C@H]1CN(C)CC[C@@H]1[NH+]1CCN(C)CC1,-5.8,212.361,-0.8431,1,2,1,94.021,-0.682,1.333,92.692,-2.836,Yes,No,No,0.857,0.864,0.144,-3.219,No,No,No,No,No,No,No,0.846,No,No,0.741,No,No,1.985,0.429,No,Yes,0.263,3.24
152054619,CC(C)CC1(C(=O)N2CC[C@H](N3CCN(C)CC3)[C@@H](C)C2)CCC1,CC(=O)C1(CC(C)C)CCC1,-5,154.253,2.7918,3,1,0,69.179,-3.16,1.043,96.416,-1.724,No,No,No,0.148,0.341,0.659,-1.78,No,No,No,No,No,No,No,1.232,No,No,0.559,No,No,1.68,2.079,No,Yes,0.381,1.06
152054620,COc1ccc(COC[C@@H](O)CN2CCC[C@@H]2c2ccco2)cc1,CCc1ccc(OC)cc1,-6.1,136.194,2.2576,2,1,0,61.64,-2.469,1.344,97.183,-1.483,No,No,No,0.295,0.359,0.575,-1.791,No,No,Yes,No,No,No,No,0.292,No,No,1.069,No,No,1.725,2.031,No,Yes,0.443,1.084
152054621,CCCN(CC1CC1)S(=O)(=O)N1CCC(OCCCOC)CC1,CC1CCN(C)CC1,-4.6,113.204,1.3481,0,1,0,51.683,-0.881,1.376,94.93,-2.471,Yes,No,No,0.594,0.771,0.088,-2.735,No,No,No,No,No,No,No,0.854,No,No,0.834,No,No,2.242,1.561,Yes,Yes,0.031,2.326
152054622,C/C(=C\c1ccc(F)cc1)C(=O)N1CCCC[C@@H]1[C@@H]1CNC(=O)C1,CN1CCCC[C@@H]1[C@@H]1CNC(=O)C1,-5.8,182.267,0.6068,1,2,1,79.483,-1.092,1.449,92.637,-3.065,Yes,No,No,0.504,0.747,0.007,-3.294,No,No,No,No,No,No,No,0.893,No,No,0.627,No,No,2.18,1.066,Yes,Yes,-0.059,2.697
152054627,O=C(NC[C@H](O)c1ccc2ccccc2c1)[C@@H]1CCCc2c[nH]nc21,CNC[C@H](O)c1ccc2ccccc2c1,-6.6,201.269,2.0926,3,2,2,89.552,-2.069,1.31,93.692,-2.702,Yes,No,No,0.976,0.263,0.301,-0.767,No,No,Yes,No,No,No,No,1.012,No,No,0.138,No,No,2.32,1.884,No,Yes,0.626,1.642
